bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0284,0.06101114,62.6,61.62,64.97
0285,0.06299988,64.64,63.63,66.93
0286,0.06312601,64.77,63.76,67.06
0287,0.06105965,62.65,61.67,65.02
0288,0.04609126,47.29,46.55,50.27
0289,0.06651492,68.24,67.18,70.4
0290,0.05381962,55.22,54.36,57.89
0291,0.08407038,86.26,84.91,87.69
0292,0.06621133,67.93,66.87,70.1
0293,0.0651382,66.83,65.79,69.04
0294,0.05441501,55.83,54.96,58.47
0295,0.05598287,57.44,56.54,60.02
0296,0.06389337,65.55,64.53,67.81
0297,0.06954565,71.35,70.24,73.38
0298,0.05633566,57.8,56.9,60.37
0299,0.0471237,48.35,47.59,51.29
0300,0.08388479,86.07,84.72,87.51
0301,0.06325314,64.9,63.89,67.18
0302,0.05098682,52.31,51.5,55.1
0303,0.04692712,48.15,47.4,51.1
0304,0.06416226,65.83,64.8,68.08
0305,0.07018628,72.01,70.89,74.01
0306,0.05901052,60.54,59.6,63.0
0307,0.0528256,54.2,53.35,56.91
0308,0.06722371,68.97,67.9,71.09
0309,0.07005403,71.88,70.75,73.88
0310,0.06762797,69.39,68.3,71.49
0311,0.05168853,53.03,52.21,55.79
0312,0.05806579,59.58,58.65,62.07
0313,0.06939676,71.2,70.09,73.24
0314,0.05282116,54.19,53.35,56.9
0315,0.0619397,63.55,62.56,65.89
0316,0.0831866,85.35,84.02,86.82
0317,0.05939092,60.94,59.98,63.38
0318,0.05883532,60.37,59.42,62.83
0319,0.05718382,58.67,57.76,61.2
0320,0.07279959,74.69,73.53,76.59
0321,0.05875413,60.28,59.34,62.75
0322,0.04869534,49.96,49.18,52.84
0323,0.06157424,63.18,62.19,65.53
0324,0.05744974,58.94,58.02,61.46
0325,0.06352545,65.18,64.16,67.45
0326,0.0592027,60.74,59.79,63.19
0327,0.0526137,53.98,53.14,56.7
0328,0.06799125,69.76,68.67,71.85
0329,0.06306933,64.71,63.7,67.0
0330,0.0630898,64.73,63.72,67.02
0331,0.06124464,62.84,61.86,65.2
0332,0.0557921,57.24,56.35,59.83
0333,0.06396785,65.63,64.61,67.89
0334,0.05161546,52.96,52.13,55.72
0335,0.04566652,46.85,46.12,49.86
0336,0.0568364,58.31,57.4,60.86
0337,0.05784727,59.35,58.43,61.86
0338,0.07603667,78.01,76.8,79.78
0339,0.06169937,63.3,62.32,65.65
0340,0.07161943,73.48,72.34,75.43
0341,0.0582133,59.73,58.8,62.22
0342,0.07206104,73.93,72.78,75.86
0343,0.05656174,58.03,57.13,60.59
0344,0.05857907,60.1,59.16,62.58
0345,0.05825354,59.77,58.84,62.26
0346,0.05366079,55.06,54.2,57.73
0347,0.06024589,61.81,60.85,64.22
0348,0.04969086,50.98,50.19,53.82
0349,0.06045578,62.03,61.06,64.43
0350,0.0444218,45.58,44.87,48.63
0351,0.05734854,58.84,57.92,61.37
0352,0.06725068,69.0,67.92,71.12
0353,0.05456159,55.98,55.11,58.62
0354,0.06269638,64.33,63.32,66.63
0355,0.06382806,65.49,64.47,67.75
0356,0.04458292,45.74,45.03,48.79
0357,0.07244288,74.33,73.17,76.24
0358,0.06324187,64.89,63.87,67.17
0359,0.06309741,64.74,63.73,67.03
0360,0.05396372,55.37,54.5,58.03
0361,0.08466172,86.86,85.51,88.27
0362,0.0531095,54.49,53.64,57.19
0363,0.06616478,67.89,66.83,70.05
0364,0.06031338,61.88,60.92,64.29
0365,0.06013893,61.7,60.74,64.11
0366,0.0595261,61.07,60.12,63.51
0367,0.05345115,54.84,53.99,57.53
0368,0.06954619,71.35,70.24,73.38
0369,0.05580755,57.26,56.37,59.85
0370,0.05727671,58.77,57.85,61.29
0371,0.06707764,68.82,67.75,70.95
0372,0.05830402,59.82,58.89,62.31
0373,0.05503572,56.47,55.59,59.09
0374,0.05103007,52.36,51.54,55.14
0375,0.06288676,64.52,63.52,66.82
0376,0.06164223,63.24,62.26,65.6
0377,0.05830609,59.82,58.89,62.31
0378,0.0533824,54.77,53.92,57.46
0379,0.06096528,62.55,61.57,64.93
0380,0.059462,61.01,60.06,63.45
0381,0.05554272,56.99,56.1,59.59
0382,0.0460211,47.22,46.48,50.21
0383,0.0606161,62.19,61.22,64.58
0384,0.05979728,61.35,60.4,63.78
0385,0.06112411,62.71,61.74,65.08
0386,0.06659509,68.33,67.26,70.47
0387,0.05111728,52.45,51.63,55.23
0388,0.0484456,49.71,48.93,52.59
0389,0.06081001,62.39,61.42,64.78
0390,0.06416186,65.83,64.8,68.08
0391,0.06433899,66.01,64.98,68.25
0392,0.05507186,56.5,55.62,59.12
0393,0.0567579,58.23,57.33,60.78
0394,0.05097595,52.3,51.49,55.09
